Gene	A6-3807-01A-22	A6-3808-01A-22	A6-3810-01A-22	AA-3518-01A-11	AA-3525-01A-12	AA-3526-01A-11	AA-3529-01A-12	AA-3531-01A-22	AA-3534-01A-22	AA-3552-01A-22	AA-3554-01A-22	AA-3558-01A-22	AA-3561-01A-22	AA-3664-01A-22	AA-3666-01A-31	AA-3672-01A-22	AA-3684-01A-31	AA-3695-01A-22	AA-3710-01A-22	AA-3715-01A-22	AA-3818-01A-22	AA-3848-01A-22	AA-3864-01A-22	AA-3986-01A-12	AA-3989-01A-22	AA-A004-01A-22	AA-A00A-01A-22	AA-A00A-01A-41	AA-A00E-01A-31	AA-A00F-01A-31	AA-A00J-01A-12	AA-A00K-01A-12	AA-A00K-01A-31	AA-A00N-01A-32	AA-A00N-01A-41	AA-A00O-01A-13	AA-A00R-01A-22	AA-A00R-01A-31	AA-A00U-01A-41	AA-A010-01A-31	AA-A017-01A-22	AA-A01C-01A-22	AA-A01D-01A-23	AA-A01F-01A-23	AA-A01I-01A-12	AA-A01K-01A-31	AA-A01P-01A-23	AA-A01R-01A-23	AA-A01S-01A-23	AA-A01T-01A-23	AA-A01V-01A-24	AA-A01X-01A-23	AA-A01Z-01A-13	AA-A022-01A-23	AA-A024-01A-32	AA-A029-01A-41	AA-A02E-01A-23	AA-A02H-01A-32	AA-A02J-01A-23	AA-A02O-01A-23	AA-A02R-01A-23	AA-A02Y-01A-31	AA-A03F-01A-41	AA-A03J-01A-23	AF-2691-01A-41	AF-2692-01A-41	AF-3400-01A-41	AF-3913-01A-12	AG-3574-01A-22	AG-3580-01A-22	AG-3584-01A-22	AG-3593-01A-22	AG-3594-01A-12	AG-4007-01A-22	AG-A002-01A-23	AG-A008-01A-23	AG-A00C-01A-23	AG-A00H-01A-22	AG-A00H-01A-31	AG-A00Y-01A-12	AG-A011-01A-32	AG-A014-01A-12	AG-A015-01A-51	AG-A016-01A-23	AG-A01J-01A-22	AG-A01L-01A-22	AG-A01N-01A-23	AG-A01W-01A-23	AG-A01Y-01A-43	AG-A020-01A-23	AG-A026-01A-71	AG-A02N-01A-31	AG-A02X-01A-32	AG-A032-01A-31	AG-A036-01A-22
A1BG	0.778	1.041	1.114	1.342	0.477	0.903	0.699	0.845	1.114	0.845	0.699	1.079	1.000	0.903	0.477	0.778	1.146	0.903	0.477	0.954	0.954	0.699	0.845	1.230	0.602	1.279	0.845	1.230	1.114	0.954	1.079	0.903	1.146	1.556	1.114	1.114	1.279	0.954	1.079	1.342	1.079	1.000	1.114	0.602	0.602	0.699	0.845	1.079	0.954	0.845	0.903	0.602	1.079	1.279	1.114	1.041	1.041	1.146	0.602	1.041	1.342	1.079	0.699	0.699	0.000	1.146	1.462	1.079		0.954	0.602	0.903	0.903		0.778	1.000	0.477	0.699	0.903	1.041	0.845	0.954	0.845	0.301	1.041	0.954	0.602	0.602	0.954	1.000	1.000	0.699	0.954	0.477	0.778	
A1CF						0.000		0.699				0.000	0.602		0.301			0.000				0.000		0.000	0.000	0.000							0.000						0.000	0.000		0.000		0.477					0.477	0.477						0.000	0.301		0.477				0.000	0.602	0.301	0.000				0.000	0.000			0.301		0.000	0.301		0.301			0.000	0.301	0.000			0.477	0.000			0.301				0.477	
A2M	2.164	2.228	1.771	2.204	1.756	1.845	1.806	1.778	1.973	1.892	1.869	2.097	1.863	1.771	1.863	1.740	1.881	1.763	1.954	1.991	1.903	2.049	1.881	1.959	1.531	1.973	1.778	1.964	2.045	1.724	1.919	1.949	2.127	2.107	1.740	1.934	1.964	1.785	1.857	1.944	1.869	1.863	1.886	1.806	1.672	1.699	1.763	1.568	1.857	1.949	1.833	1.643	1.544	1.892	2.230	2.111	1.362	1.681	1.833	1.740	2.093	2.009	1.716	1.519	1.462	1.898	2.204	1.556	0.845	1.613	1.903	1.845	2.220	1.531	2.013	1.839	1.279	1.973	1.968	1.892	1.690	2.130	1.623	1.380	2.064	1.672	1.519	1.771	1.732	1.771	1.643	1.623	1.708	1.681	1.643	
AAAS	0.301		0.000	0.301	0.000	0.477	0.301	0.778		0.778	0.301	0.301	0.778	0.602	0.301	0.477		0.000	0.602	0.000	0.477	0.000	0.699		0.301		0.699	0.699	0.000	0.602	0.602				0.000	0.000	0.000	0.699	0.602		0.477			0.477	0.000			0.778	0.602	0.602	0.301	0.699	0.000	0.602	0.000	0.301	0.000	0.000	0.000	0.301		0.301	0.301	0.699	0.301	0.477	0.000	0.000	0.301	0.778	0.000		0.301	0.301	0.301	0.602	0.477	0.301	0.000	0.000	0.477	0.778	0.000	0.477	0.477	0.301	0.602	0.000		0.845	0.301	0.699	0.602	0.477	0.301	
AACS	0.301			0.000			0.000			0.477	0.000		0.000	0.699	0.477	0.477		0.000	0.477			0.000	0.602		0.000	0.301	0.000		0.602	0.301	0.477					0.477			0.301		0.602				0.000	0.301		0.301	0.000	0.000	0.301	0.778			0.000	0.477			0.301	0.903		0.845	0.000			0.000	0.301		0.000		0.000			0.000	0.301	0.000	0.477		0.301	0.602	0.000		0.477	0.000		0.301				0.000		0.602			0.000	
AAGAB			0.000	0.000		0.000		0.000		0.000	0.000		0.000						0.000				0.000				0.000		0.301				0.000			0.000		0.000	0.000	0.000	0.000			0.000	0.000			0.301		0.000			0.000			0.000				0.301		0.000		0.000		0.000	0.000						0.301	0.000						0.000	0.000	0.000	0.000	0.301						0.000	0.301	0.301			0.000	
AAK1	0.000	0.000	0.000		0.000	0.301	0.000	0.477			0.000			0.000				0.000		0.000		0.000	0.000		0.000	0.000		0.000	0.000		0.000	0.000			0.000	0.301								0.000	0.000	0.000	0.000			0.301	0.000	0.699				0.301	0.477			0.000		0.000			0.000	0.477			0.301	0.000	0.301	0.000	0.301	0.301	0.000			0.477	0.301	0.000			0.000		0.000		0.699				0.000				0.000	
AAMDC	0.000					0.000	0.000	0.301		0.000			0.477	0.000					0.000		0.000	0.000	0.000				0.000				0.602	0.301	0.477			0.000	0.000	0.000	0.000		0.000		0.000					0.301		0.000		0.602			0.000			0.000		0.000	0.000	0.477		0.301		0.000	0.000		0.000		0.301			0.602		0.000	0.301		0.000	0.000	0.477	0.000		0.000	0.000		0.477		0.602		0.000	0.000	0.000	0.477	0.602	
AAMP	0.000									0.000						0.000		0.000	0.477				0.602					0.000	0.000		0.000	0.000					0.000	0.699	0.301					0.000			0.000	0.699	0.301					0.000		0.301							0.000	0.000	0.000							0.000	0.000			0.301	0.000		0.000	0.000			0.000			0.000	0.699	0.000	0.000		0.000	0.000		0.000		
AAR2				0.000						0.000			0.301		0.000														0.000									0.000				0.000									0.000									0.000		0.000		0.000																																
