Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
A1BG	0.699	0.477	0.903	1.301	0.602	1.322	1.505	1.362	1.301	1.079	1.505	1.322	1.079	0.699	1.362	0.845	1.114	0.845	0.778	1.380	0.699		1.380	1.462	1.114	1.000	1.362	0.845	1.230	0.301	0.778	0.301	1.301	1.322	0.845	0.845	1.079	0.699	0.000	1.146	1.114	1.204	1.230	0.954	
A2M	1.114	1.079	1.380	1.799	1.279	1.851	1.940	1.778	1.716	1.672	1.699	1.914	1.447	1.491	1.643	1.544	1.792	1.462	1.255	1.740	1.380	0.954	1.892	1.898	1.699	1.519	1.875	1.415	1.556	1.114	1.380	0.778	1.672	1.505	1.398	1.322	1.322	1.431	1.041	1.556	1.748	1.580	1.556	1.708	
A2ML1		0.699		0.477	0.699			0.903				0.602	0.000				0.477		0.778	0.477	1.591		0.477				0.301			0.699				0.477	0.301				0.301		0.477			0.000	
ABCA1		0.602	0.000	0.845	0.301		0.477	0.301	0.602	1.000		0.477	0.602	0.602		0.602	0.954	0.301		0.778	0.301		0.778				0.477	0.000		0.602	0.301	0.301				0.000	0.845	0.699	0.301	0.301	0.602		0.477	0.699	
ABI3BP		0.778	0.477	0.301	0.000	1.041	0.477	0.301	1.230	0.477	0.301	0.477	0.477	0.477	0.778	0.778	0.778	0.000		1.230	0.000	0.301	0.845	0.845	0.602	0.602	0.845		0.301	0.477			0.477	0.000	0.903	0.845			0.699	0.477	0.602	0.903	0.477	0.477	
ACAN			0.301	0.301					0.477		0.000	0.477		0.477		0.699	0.477			0.477			0.000	0.477					0.477				0.000					0.477	0.000		0.477	0.477	0.477		
ACE	1.114	1.079	1.000	1.322	1.000	1.230	1.279	1.230	1.000	1.146	0.903	1.079	1.176	1.114	1.146	1.176	0.903	1.255	1.230	1.146	1.380	0.778	1.204	1.204	1.079	1.041	1.176	1.041	0.903	1.255	0.954	0.954	1.000	1.146	1.279	1.114	1.114	1.000	0.845	1.146	1.041	1.041	0.602	1.176	
ACP2	1.041	0.954	1.176	1.568	1.255	1.146	1.230	1.301	1.255	1.255	1.204	1.301	1.176	1.279	1.176	1.342	1.204	1.176	1.041	1.279	1.230	1.041	1.279	1.204	1.204	1.114	1.230	1.114	0.903	1.176	1.176	1.146	1.230	1.041	1.230	1.230	1.146	1.041	1.000	1.079	1.230	1.146	1.146	1.301	
ACPP				0.699		0.301	1.079			1.079		0.000	0.000		0.000			0.000	0.000	1.114	0.477		0.477				0.903				0.477		0.778	0.000	0.301	1.322	0.000			0.301			0.301	0.778	
ACTA2	1.505	1.556	1.176	1.146	1.602	1.643	1.398	1.362	1.146	1.255	1.000	1.322	0.903	1.041	1.079	1.230	1.362	1.613	1.431	1.146	1.362	1.643	1.322	1.176	0.699	0.903	1.041	1.556	1.613	1.623	1.531	1.431	0.845	1.415	1.462	1.591	1.519	1.613	1.505	1.602	1.491	1.342	1.708	1.491	
ACTB	1.799	1.845	1.613	1.623	1.839	1.886	1.732	1.681	1.544	1.623	1.505	1.591	1.462	1.519	1.544	1.568	1.633	1.826	1.778	1.544	1.653	1.799	1.663	1.544	1.301	1.491	1.568	1.806	1.813	1.771	1.845	1.681	1.491	1.732	1.763	1.908	1.813	1.869	1.732	1.792	1.785	1.568	1.914	1.833	
ACTN1	0.301	0.778		0.000	0.477	0.477	0.000				0.000		0.301	0.301	0.000	0.301	0.000	0.845	0.602		0.000	0.602	0.000	0.301		0.000	0.000		0.602	0.699	0.845	0.301		0.301		0.602	0.699	0.845	0.000	0.699			1.114	0.000	
ACTN4	0.301	0.778		0.000	0.477	0.301	0.000				0.000		0.301	0.301		0.301		0.699	0.602		0.000	0.602	0.000	0.301		0.000			0.477	0.699	0.845	0.301		0.000		0.602	0.778	0.845	0.477	0.699			1.519		
ADA2	0.699		0.477		0.699	0.477	0.477		0.778	0.477	0.602		0.477	0.301		0.301				0.778	0.602			0.477	0.000	0.699	0.602	0.602	0.301	0.778	0.000	0.477	0.845	0.000	0.477	0.845	0.477	0.477	0.477	0.699	0.301	0.778	0.699	0.301	
ADAM10	1.041	1.301	1.114	1.255	1.230	1.114	1.079	1.380	1.230	1.146	0.903	1.204	1.255	1.362	1.079	1.230	1.362	1.204	1.114	1.114	1.255	1.176	1.079	1.230	1.079	1.041	1.114	1.204	0.699	1.279	1.255	1.079	1.114	1.230	1.204	1.230	1.255	1.230	0.602	1.204	1.362	1.000	1.230	1.279	
ADAM17	1.146	1.114	0.845	1.176	0.845		0.778	1.114		1.079	0.778	0.903	1.000	1.041	0.778	1.146	1.204	0.903	1.041	0.845	1.000	1.041	1.146	0.845	0.301	0.845	0.301	0.903	0.000	1.000	1.079	1.079	0.477	0.954	1.079	1.114	1.079	0.903		0.954	1.079	0.602	0.477	1.230	
ADAM28	0.903		0.477	0.477	0.477	0.000		0.845		0.477					0.778	0.000		0.477	0.477		0.301			0.000		0.301	0.602	0.903		0.477		0.301		0.778		0.699	0.477		0.301				0.000	0.477	
ADAM9	0.301	0.477	0.477	0.000	0.301	0.000	0.602		0.301	0.699	0.602		0.000	0.301			0.301	0.477	0.000	0.477	0.000	0.000	0.301	0.301	0.301	0.477	0.301	0.301		0.301	0.477		0.000			0.000		0.602		0.477			0.477	0.602	
ADAMTS12	0.000	0.301	0.477	0.602	0.602	0.000	0.778	0.699	0.477	0.845		1.000	0.602	0.778	0.602	0.477	0.903	0.477	0.000	0.602		0.477	0.954			0.602	0.000	0.477	0.477	0.778	0.699				0.477	0.778		0.602		0.477	0.778	0.000	0.301	0.845	
ADAMTSL1			0.477	0.477	0.000	0.000	0.602		0.301	0.301		0.602	0.000	0.301		0.301	0.301			0.477	0.000	0.000	0.477	0.778		0.699			0.477					0.000		0.778		0.477		0.000	0.602	0.602	0.477		
ADAMTSL4										0.000																			0.477																
ADGRA2							0.301													0.477			0.000				0.000		0.000					0.000											
ADGRE5	1.362	1.176	1.230	1.322	1.146	1.114	1.342	1.279	1.079	1.279	1.079	1.362	1.255	1.342	1.204	1.322	1.279	1.230	0.903	1.041	1.255	0.845	1.255	1.204	1.079	1.114	1.079	1.114	0.778	0.954	1.255	0.845	1.041	1.230	1.079	1.146	1.000	1.146	0.954	1.279	1.230	1.041	1.041	1.398	
ADGRF5	0.000	0.477			0.477				0.000	0.477					0.000	0.000							0.000								0.301					0.000	0.000						0.000		
ADGRG1	0.954	0.954	0.602	1.255	0.845	0.699	0.699	1.176	0.699	1.000	1.041	1.000	0.778	1.114	1.204	1.176	1.204	0.477	1.079	0.778	1.114	0.602	1.114	0.845	0.602	0.845	1.146	0.699	0.301	0.903	0.903	0.845	0.477	1.041	0.903	1.079	1.000	0.954	0.477	0.903	1.000	0.602	0.699	1.114	
ADGRG2	0.301	0.699	0.903	1.079	0.301	0.845	0.301	0.699	0.699	0.477	0.954	1.146	0.845	0.845	1.146	1.544	1.114	1.176	0.477	1.079	1.000	0.000	0.602	1.114	0.954	0.845	1.176	0.699	0.954	0.477	0.699	0.000	1.000	0.699	0.477	0.301	1.114	0.602	0.477	0.602	0.845	0.699	1.041	1.000	
ADGRG6					0.602										0.602			0.903			0.301												0.301			0.000									
ADGRL2	0.301		0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.477		0.000	0.000	0.477	0.477		0.477	0.000	0.477		0.477	0.301	0.000	0.000	0.301		0.301	0.602		0.301	0.000	0.000	0.301	0.477	0.477	0.301		0.301	0.301	0.602	0.000	0.602	
